Id,birth,death|
1083,23.0,35.0
1084,23.0,43.0
1085,23.0,66.0
1086,23.0,44.0
1087,23.0,28.0
1088,23.0,40.0
1089,23.0,54.0
1090,24.0,30.0
1091,24.0,34.0
1092,24.0,35.0
1093,24.0,34.0
1094,24.0,25.0
1095,24.0,32.0
1096,24.0,52.0
1097,24.0,28.0
1098,24.0,25.0
1099,24.0,27.0
1100,24.0,49.0
1101,24.0,26.0
1102,24.0,77.0
1103,24.0,33.0
1104,24.0,28.0
1105,24.0,38.0
1106,24.0,35.0
1107,24.0,77.0
1108,24.0,33.0
1109,24.0,33.0
1110,24.0,41.0
1111,24.0,26.0
1112,24.0,27.0
1113,24.0,77.0
1114,24.0,56.0
1115,24.0,29.0
1116,24.0,90.0
1117,24.0,61.0
1118,24.0,59.0
1119,24.0,51.0
1120,24.0,39.0
1121,24.0,32.0
1122,24.0,35.0
1123,24.0,27.0
1124,24.0,35.0
1125,24.0,32.0
1126,24.0,24.0
1127,24.0,58.0
1128,24.0,34.0
1129,24.0,45.0
1130,24.0,44.0
1131,24.0,41.0
1132,24.0,25.0
1133,24.0,37.0
1134,24.0,27.0
1135,24.0,54.0
1136,24.0,35.0
1137,24.0,33.0
1138,24.0,58.0
1139,24.0,32.0
1140,24.0,49.0
1141,24.0,28.0
1142,24.0,25.0
1143,24.0,24.0
1144,24.0,29.0
1145,24.0,57.0
1146,24.0,71.0
1147,24.0,41.0
1148,24.0,80.0
1149,24.0,29.0
1150,24.0,46.0
1151,24.0,27.0
1152,24.0,38.0
1153,24.0,27.0
1154,24.0,28.0
1155,24.0,39.0
1156,24.0,50.0
1157,24.0,26.0
1158,24.0,27.0
1159,24.0,31.0
1160,24.0,28.0
1161,24.0,26.0
1162,24.0,38.0
1163,24.0,46.0
1164,24.0,26.0
1165,24.0,26.0
1166,24.0,35.0
1167,24.0,30.0
1168,24.0,28.0
1169,24.0,31.0
1170,24.0,86.0
1171,24.0,26.0
1172,24.0,27.0
1173,24.0,26.0
1174,24.0,33.0
1175,24.0,44.0
1176,24.0,38.0
1177,24.0,31.0
1178,24.0,44.0
1179,24.0,25.0
1180,24.0,25.0
1181,24.0,42.0
1182,24.0,40.0
1183,24.0,39.0
1184,24.0,24.0
1185,24.0,44.0
1186,24.0,24.0
1187,24.0,25.0
1188,24.0,29.0
1189,24.0,39.0
1190,24.0,31.0
1191,24.0,27.0
1192,24.0,33.0
1193,24.0,69.0
1194,24.0,33.0
1195,24.0,31.0
1196,24.0,46.0
1197,24.0,40.0
1198,24.0,35.0
1199,24.0,25.0
1200,24.0,24.0
1201,24.0,72.0
1202,24.0,34.0
1203,24.0,43.0
1204,24.0,39.0
1205,24.0,29.0
1206,24.0,25.0
1207,24.0,65.0
1208,24.0,63.0
1209,24.0,31.0
1210,24.0,24.0
1211,24.0,66.0
1212,24.0,24.0
1213,24.0,49.0
1214,24.0,24.0
1215,24.0,37.0
1216,24.0,28.0
1217,24.0,26.0
1218,24.0,32.0
1219,24.0,44.0
1220,24.0,45.0
1221,24.0,34.0
1222,24.0,31.0
1223,24.0,78.0
1224,24.0,26.0
1225,24.0,30.0
1226,24.0,32.0
1227,24.0,34.0
1228,24.0,28.0
1229,24.0,35.0
1230,24.0,64.0
1231,24.0,36.0
1232,24.0,28.0
1233,24.0,31.0
1234,24.0,30.0
1235,24.0,38.0
1236,24.0,24.0
1237,24.0,25.0
1238,24.0,36.0
1239,24.0,37.0
1240,24.0,41.0
1241,24.0,24.0
1242,24.0,35.0
1243,24.0,42.0
1244,24.0,24.0
1245,24.0,32.0
1246,24.0,26.0
1247,24.0,69.0
1248,24.0,30.0
1249,24.0,29.0
1250,24.0,33.0
1251,24.0,40.0
1252,24.0,47.0
1253,24.0,30.0
1254,24.0,42.0
1255,24.0,44.0
1256,24.0,41.0
1257,24.0,34.0
1258,24.0,32.0
1259,24.0,39.0
1260,24.0,51.0
1261,24.0,30.0
1262,24.0,29.0
1263,24.0,30.0
1264,24.0,77.0
1265,24.0,37.0
1266,24.0,32.0
1267,24.0,48.0
1268,24.0,27.0
1269,24.0,59.0
1270,24.0,47.0
1271,24.0,109.0
1272,24.0,58.0
1273,24.0,36.0
1274,24.0,29.0
1275,24.0,39.0
1276,24.0,46.0
1277,24.0,47.0
1278,24.0,49.0
1279,24.0,37.0
1280,24.0,40.0
1281,24.0,40.0
1282,24.0,52.0
1283,24.0,53.0
1284,24.0,25.0
1285,24.0,30.0
1286,24.0,58.0
1287,24.0,30.0
1288,24.0,25.0
1289,24.0,25.0
1290,24.0,29.0
1291,24.0,73.0
1292,24.0,38.0
1293,24.0,48.0
1294,24.0,28.0
1295,24.0,35.0
1296,24.0,55.0
1297,24.0,28.0
1298,24.0,30.0
1299,24.0,59.0
1300,24.0,48.0
1301,24.0,52.0
1302,24.0,47.0
1303,24.0,46.0
1304,24.0,26.0
1305,24.0,65.0
1306,24.0,38.0
1307,24.0,24.0
1308,24.0,52.0
1309,24.0,35.0
1310,24.0,26.0
1311,24.0,31.0
1312,24.0,70.0
1313,24.0,29.0
1314,24.0,25.0
1315,24.0,27.0
1316,24.0,24.0
1317,24.0,37.0
1318,24.0,30.0
1319,24.0,34.0
1320,24.0,31.0
1321,24.0,24.0
1322,24.0,42.0
1323,24.0,57.0
1324,24.0,29.0
1325,24.0,28.0
1326,24.0,49.0
1327,24.0,31.0
1328,24.0,40.0
1329,24.0,50.0
1330,24.0,24.0
1331,24.0,40.0
1332,24.0,25.0
1333,24.0,61.0
1334,24.0,38.0
1335,24.0,31.0
1336,24.0,30.0
1337,24.0,36.0
1338,24.0,31.0
1339,24.0,26.0
1340,24.0,49.0
1341,24.0,31.0
1342,24.0,58.0
1343,24.0,41.0
1344,24.0,30.0
1345,24.0,51.0
1346,24.0,32.0
1347,24.0,55.0
1348,24.0,38.0
1349,24.0,47.0
1350,24.0,31.0
1351,24.0,33.0
1352,24.0,46.0
1353,24.0,41.0
1354,24.0,27.0
1355,24.0,60.0
1356,24.0,69.0
1357,24.0,33.0
